# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = Naive_Bayes_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = Naive_Bayes_1.data.R
# init = 2 (Default)
# random
#   seed = 4193878922
# output
#   file = Naive_Bayes_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,phi.1.1,phi.2.1,phi.3.1,phi.4.1,phi.1.2,phi.2.2,phi.3.2,phi.4.2,phi.1.3,phi.2.3,phi.3.3,phi.4.3,phi.1.4,phi.2.4,phi.3.4,phi.4.4,phi.1.5,phi.2.5,phi.3.5,phi.4.5,phi.1.6,phi.2.6,phi.3.6,phi.4.6,phi.1.7,phi.2.7,phi.3.7,phi.4.7,phi.1.8,phi.2.8,phi.3.8,phi.4.8,phi.1.9,phi.2.9,phi.3.9,phi.4.9,phi.1.10,phi.2.10,phi.3.10,phi.4.10
-3617.46,0.962202,0.0541952,5,31,0,3634.62,0.542375,0.223353,0.171201,0.0630712,0.181415,0.0342575,0.0400776,0.191523,0.0171028,0.174823,0.0225337,0.533545,0.0354801,0.424374,0.182953,0.0310569,0.0500564,0.133524,0.0350463,0.0241774,0.00958354,0.0153013,0.453147,0.0420721,0.0634257,0.018946,0.141121,0.0304222,0.474258,0.0365059,0.0260579,0.0396372,0.0341054,0.0433985,0.0435111,0.0310049,0.120485,0.0902604,0.0339345,0.0488898,0.0140881,0.0286092,0.021618,0.0276706
-3609.25,0.876029,0.0909996,4,15,0,3630.8,0.541819,0.245075,0.124377,0.0887292,0.180107,0.013582,0.0457018,0.198293,0.0286126,0.179445,0.0262593,0.505272,0.03971,0.451837,0.157419,0.0219339,0.0519278,0.123387,0.0144114,0.039323,0.0191344,0.0119876,0.477121,0.0624864,0.061176,0.0240637,0.147151,0.0332061,0.448612,0.0598659,0.0219634,0.0494443,0.0248241,0.0188176,0.0433671,0.0127953,0.121912,0.0875588,0.0331318,0.0634947,0.0239842,0.0294566,0.0334742,0.0137513
-3611.58,0.577443,0.117264,5,47,0,3629.92,0.486648,0.251854,0.19308,0.0684185,0.184877,0.0306064,0.0488314,0.214807,0.0288791,0.196899,0.0303864,0.425657,0.0370467,0.456166,0.152113,0.0275124,0.0649514,0.102659,0.0183121,0.041255,0.0148582,0.00986783,0.479235,0.091338,0.0667583,0.0234066,0.149661,0.0399469,0.431867,0.0479859,0.0236572,0.0571223,0.0254831,0.0360953,0.0444314,0.000509243,0.126498,0.0664096,0.0240661,0.0787258,0.0187811,0.0299034,0.0293057,0.0231265
-3619.2,0.914423,0.0595199,5,31,0,3630.41,0.568466,0.225037,0.164715,0.0417827,0.198407,0.0252792,0.0402544,0.197877,0.0283778,0.175679,0.028404,0.48712,0.0467462,0.435121,0.170303,0.0246994,0.0521899,0.116772,0.0142712,0.043705,0.0201479,0.0131442,0.39448,0.0820701,0.0473292,0.0318337,0.16744,0.0395038,0.445966,0.0478764,0.0374918,0.0422589,0.0258492,0.0400494,0.0741936,0.000396684,0.115591,0.0872628,0.0361932,0.0597358,0.0193949,0.0269831,0.0369683,0.0226331
-3613.47,0.975156,0.0874635,4,15,0,3635.54,0.492878,0.255628,0.199056,0.0524378,0.19789,0.02515,0.0327849,0.183351,0.0274956,0.178288,0.0294685,0.447739,0.0437526,0.451208,0.164357,0.0318161,0.0612334,0.120174,0.0171471,0.061113,0.0159551,0.0108217,0.417888,0.0745661,0.0724088,0.0293216,0.177396,0.0492936,0.41429,0.0574905,0.0298608,0.0469074,0.021961,0.0269876,0.0638599,0.000631297,0.125152,0.0770709,0.032065,0.0807018,0.0198619,0.0234876,0.0351726,0.0238807
-3613.98,0.141926,0.155059,4,31,0,3633.92,0.496268,0.28009,0.170078,0.0535637,0.201007,0.0324138,0.0519511,0.22647,0.0165487,0.195733,0.0189977,0.487677,0.0405367,0.460507,0.123127,0.0277133,0.0431697,0.105101,0.0307395,0.0303739,0.0143854,0.00967561,0.514084,0.0476415,0.058928,0.0194423,0.133959,0.0417387,0.449412,0.0371083,0.0231367,0.0476631,0.0313944,0.0324996,0.061483,0.000825444,0.127969,0.0730409,0.0176619,0.0782201,0.0166486,0.0344784,0.0248606,0.0116767
-3613.07,0.988291,0.0210695,6,63,0,3629.02,0.517011,0.194683,0.158095,0.13021,0.182404,0.0170757,0.0360427,0.17574,0.0270152,0.191693,0.0165851,0.522123,0.0495914,0.439957,0.133087,0.0193982,0.0499399,0.100315,0.0218079,0.0522974,0.014338,0.0153464,0.509055,0.0323116,0.0567729,0.021167,0.14451,0.0265714,0.466094,0.0601594,0.0251352,0.0521539,0.0236461,0.0240537,0.0419151,0.000951706,0.110468,0.10105,0.0532288,0.0790865,0.0197301,0.0291833,0.0186343,0.0393661
-3616.42,0.932722,0.0391931,5,31,0,3631.17,0.523177,0.237828,0.183052,0.0559438,0.16631,0.0318717,0.0545398,0.227647,0.0204082,0.181309,0.0214698,0.440162,0.0496149,0.437969,0.132626,0.0163925,0.0524457,0.127515,0.0377203,0.0176689,0.0147216,0.0145474,0.484621,0.0837935,0.0592357,0.027715,0.145604,0.0275185,0.446191,0.0410826,0.013964,0.0527516,0.0357574,0.0358251,0.0554096,0.000381311,0.138777,0.0724115,0.0267596,0.0914445,0.0165381,0.0297531,0.0272858,0.0422403
-3612.2,0.983746,0.0611728,5,63,0,3631.1,0.517333,0.228989,0.185954,0.067724,0.164397,0.0205222,0.0430848,0.227444,0.0201897,0.16626,0.0239778,0.455855,0.0397378,0.439936,0.165653,0.0383467,0.0580076,0.128819,0.0208144,0.0685569,0.0151385,0.0130864,0.482829,0.0285959,0.0589756,0.0160314,0.136112,0.0223588,0.484426,0.045486,0.0233315,0.0459658,0.0280206,0.0245434,0.0448237,0.0026995,0.116312,0.106501,0.0381263,0.0982757,0.0147947,0.0388153,0.0212469,0.0119017
-3609.04,0.974533,0.110716,4,15,0,3622.1,0.531293,0.221982,0.165449,0.0812758,0.186718,0.0262409,0.0323306,0.180462,0.023525,0.164831,0.0198061,0.489286,0.0461968,0.452347,0.128209,0.0317065,0.0558771,0.115734,0.0222517,0.0587396,0.0135299,0.0161858,0.484888,0.0707639,0.0689338,0.0267008,0.158641,0.00684927,0.449229,0.051142,0.0249745,0.0444676,0.0252314,0.0381406,0.0606315,0.00238268,0.11012,0.0792369,0.0507784,0.095485,0.0206389,0.0294408,0.0174894,0.0198583
-3609.04,0.25,0.193321,1,3,1,3623.33,0.531293,0.221982,0.165449,0.0812758,0.186718,0.0262409,0.0323306,0.180462,0.023525,0.164831,0.0198061,0.489286,0.0461968,0.452347,0.128209,0.0317065,0.0558771,0.115734,0.0222517,0.0587396,0.0135299,0.0161858,0.484888,0.0707639,0.0689338,0.0267008,0.158641,0.00684927,0.449229,0.051142,0.0249745,0.0444676,0.0252314,0.0381406,0.0606315,0.00238268,0.11012,0.0792369,0.0507784,0.095485,0.0206389,0.0294408,0.0174894,0.0198583
-3609.44,0.953999,0.0393015,5,31,0,3626.08,0.571738,0.20102,0.14452,0.0827213,0.196003,0.0220209,0.0433732,0.201439,0.0183355,0.169068,0.015601,0.463774,0.0448847,0.440388,0.134835,0.0226719,0.0464471,0.106028,0.026856,0.0443766,0.0160274,0.0179916,0.477493,0.0562078,0.0689071,0.022476,0.156295,0.00804612,0.433462,0.0552478,0.0255198,0.0578248,0.0212557,0.0297285,0.0612938,0.00347377,0.138311,0.0965448,0.0310952,0.0906223,0.0163661,0.0405058,0.0276385,0.0515638
-3613.35,0.894471,0.0646851,4,15,0,3628.27,0.53769,0.212705,0.18146,0.0681455,0.189001,0.0324293,0.0501733,0.190109,0.0249154,0.166243,0.0126468,0.498607,0.0414614,0.429431,0.160271,0.0307878,0.0477067,0.125208,0.0266322,0.0481641,0.0124663,0.0125866,0.434508,0.0518301,0.0596374,0.0153524,0.160731,0.00621566,0.471366,0.0569586,0.0307255,0.0434874,0.0342248,0.0381592,0.0614847,0.00175041,0.0995112,0.0942628,0.0405832,0.100595,0.0197096,0.0293692,0.0222442,0.0284542
-3617.69,0.820532,0.0888555,4,15,0,3636.33,0.523385,0.205008,0.160169,0.111438,0.193457,0.0174559,0.0408237,0.18181,0.0121553,0.17695,0.01613,0.458679,0.036489,0.453686,0.149841,0.0275607,0.0520051,0.154308,0.0247137,0.0474506,0.0140127,0.00539948,0.445109,0.0650652,0.0602254,0.0143712,0.181505,0.0189975,0.439586,0.0436407,0.0241995,0.0784069,0.0235871,0.0233366,0.0409204,0.00152995,0.151337,0.0769477,0.0538837,0.0915393,0.0171451,0.0339042,0.0228742,0.0289608
-3626.48,0.776415,0.0981505,4,15,0,3648.89,0.55102,0.16015,0.203262,0.0855689,0.203208,0.027861,0.0535826,0.179709,0.0177714,0.185911,0.0240313,0.41594,0.0366226,0.446008,0.154118,0.0350371,0.0473131,0.144106,0.0270528,0.0474878,0.0151419,0.0266987,0.400095,0.0442963,0.0582681,0.0225185,0.173293,0.053885,0.43832,0.0375373,0.038364,0.0507005,0.0168049,0.0239515,0.0672445,0.00380005,0.142821,0.065369,0.0155259,0.146433,0.0237291,0.0200392,0.0466927,0.0227117
-3622.52,0.624172,0.0954501,4,15,0,3648.87,0.502877,0.299708,0.135632,0.0617822,0.199947,0.0116016,0.0465263,0.224906,0.0261299,0.18544,0.0254846,0.519269,0.0481578,0.426603,0.133485,0.0158458,0.0500725,0.0882473,0.0349712,0.0254774,0.0122961,0.0197769,0.496442,0.0443242,0.0626276,0.0277552,0.15128,0.0374193,0.44476,0.0885689,0.0364975,0.0337088,0.0337221,0.0276991,0.0325392,0.00215744,0.106721,0.0871306,0.0178266,0.0820709,0.0155668,0.0371779,0.0249468,0.0148211
-3620.94,1,0.0603506,5,31,0,3642.34,0.495773,0.292819,0.137577,0.0738311,0.184029,0.0365232,0.0391519,0.225279,0.0258701,0.167424,0.019943,0.495958,0.0373743,0.440505,0.156451,0.0126942,0.0456942,0.0941828,0.0189671,0.0510777,0.00871473,0.0125865,0.425692,0.0394041,0.0662273,0.0280482,0.179044,0.0116455,0.456054,0.0711112,0.0102755,0.0495206,0.0406213,0.0318461,0.0754065,0.00414055,0.111512,0.0845697,0.0518583,0.0942443,0.023903,0.0332034,0.0232106,0.016036
-3612.72,0.902601,0.110533,4,31,0,3635.48,0.551814,0.177322,0.186937,0.0839259,0.192937,0.0165093,0.0575712,0.186844,0.0175554,0.193868,0.0243118,0.45172,0.0443932,0.457008,0.131457,0.0230198,0.0483394,0.108655,0.0186644,0.0479334,0.0125026,0.013773,0.465897,0.0467757,0.0661394,0.0240799,0.150363,0.0146982,0.448538,0.0623474,0.00973666,0.0808149,0.0270555,0.0259398,0.0779652,0.0076119,0.122557,0.0752092,0.0482194,0.117978,0.0199825,0.0226102,0.0158156,0.0226052
-3612.72,0.218432,0.152799,3,7,0,3630.2,0.551814,0.177322,0.186937,0.0839259,0.192937,0.0165093,0.0575712,0.186844,0.0175554,0.193868,0.0243118,0.45172,0.0443932,0.457008,0.131457,0.0230198,0.0483394,0.108655,0.0186644,0.0479334,0.0125026,0.013773,0.465897,0.0467757,0.0661394,0.0240799,0.150363,0.0146982,0.448538,0.0623474,0.00973666,0.0808149,0.0270555,0.0259398,0.0779652,0.0076119,0.122557,0.0752092,0.0482194,0.117978,0.0199825,0.0226102,0.0158156,0.0226052
-3614.07,0.945608,0.0317581,6,63,0,3630.19,0.467034,0.231467,0.232505,0.0689941,0.183752,0.0259452,0.0600974,0.205776,0.0172934,0.207504,0.0227579,0.510243,0.0445867,0.433492,0.143109,0.0170993,0.0595584,0.133285,0.0290603,0.0408283,0.0152871,0.0114276,0.42404,0.0489513,0.0618095,0.0170337,0.160323,0.0357848,0.448907,0.0574266,0.0447492,0.0311923,0.0277651,0.0353915,0.0470012,0.0040855,0.120426,0.0592943,0.0239028,0.0789976,0.0206153,0.0192009,0.0449589,0.0270414
-3611.78,0.948388,0.0496421,5,31,0,3636.2,0.473228,0.247797,0.155518,0.123457,0.196544,0.0181954,0.0306345,0.174113,0.0269409,0.186262,0.0153255,0.501767,0.0476066,0.462279,0.177638,0.0216202,0.0525138,0.124038,0.0217942,0.0487282,0.0110176,0.0151872,0.43297,0.0437909,0.0588089,0.0269675,0.157504,0.0310628,0.440311,0.0313814,0.0171058,0.051296,0.0274125,0.0178646,0.0607631,0.00566329,0.124785,0.0812835,0.0411122,0.077869,0.0140591,0.0365421,0.0451525,0.0440896
-3616.12,0.674591,0.0776104,4,15,0,3631.77,0.475459,0.272408,0.166932,0.085201,0.187412,0.0187422,0.0399646,0.154376,0.0303184,0.163741,0.018555,0.498213,0.0437731,0.428603,0.133748,0.0290623,0.0578416,0.128245,0.0230323,0.052052,0.0112953,0.0292852,0.446561,0.0513832,0.0791764,0.0258978,0.165134,0.0327205,0.424367,0.0433162,0.0129118,0.0476535,0.03534,0.023833,0.0714374,0.00529323,0.115642,0.10034,0.0399492,0.0777846,0.0148342,0.0379969,0.0487071,0.0514617
-3623.4,0.953039,0.0576086,5,31,0,3642.35,0.568213,0.171425,0.180121,0.0802411,0.187103,0.0131416,0.0531119,0.262432,0.0155118,0.175927,0.0149938,0.444452,0.0456777,0.461485,0.155026,0.0318881,0.0458788,0.116666,0.0202852,0.0406218,0.0177291,0.0090554,0.482795,0.0161175,0.0560378,0.0202445,0.155177,0.0227796,0.454741,0.0543695,0.011459,0.0495424,0.0205238,0.031289,0.0369679,0.00427334,0.146342,0.0695339,0.038811,0.0862569,0.0104552,0.0482876,0.0313729,0.0416358
