# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = LDA_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = LDA_1.data.R
# init = 2 (Default)
# random
#   seed = 4189522076
# output
#   file = LDA_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.3.1,theta.4.1,theta.5.1,theta.6.1,theta.7.1,theta.8.1,theta.9.1,theta.10.1,theta.11.1,theta.12.1,theta.13.1,theta.14.1,theta.15.1,theta.16.1,theta.17.1,theta.18.1,theta.19.1,theta.20.1,theta.21.1,theta.22.1,theta.23.1,theta.24.1,theta.25.1,theta.1.2,theta.2.2,theta.3.2,theta.4.2,theta.5.2,theta.6.2,theta.7.2,theta.8.2,theta.9.2,theta.10.2,theta.11.2,theta.12.2,theta.13.2,theta.14.2,theta.15.2,theta.16.2,theta.17.2,theta.18.2,theta.19.2,theta.20.2,theta.21.2,theta.22.2,theta.23.2,theta.24.2,theta.25.2,phi.1.1,phi.2.1,phi.1.2,phi.2.2,phi.1.3,phi.2.3,phi.1.4,phi.2.4,phi.1.5,phi.2.5
-406.167,0.947293,0.157425,6,95,0,429.787,0.997485,0.951233,0.536802,0.632762,1.32263e-05,0.997739,0.731192,0.00831447,0.995309,0.0367675,0.878513,0.856499,0.384456,0.999348,0.00271478,0.976483,0.0616501,0.0686151,0.586445,0.979689,0.751116,0.116242,0.439368,0.623089,0.1329,0.00251513,0.0487672,0.463198,0.367238,0.999987,0.00226071,0.268808,0.991686,0.00469056,0.963233,0.121487,0.143501,0.615544,0.000651755,0.997285,0.0235167,0.93835,0.931385,0.413555,0.020311,0.248884,0.883758,0.560632,0.376911,0.8671,1.80152e-07,0.364588,6.0039e-20,0.384803,0.28841,0.247461,0.365375,0.000121752,0.346215,0.00302566
-406.236,0.947474,0.25187,5,31,0,419.784,0.999095,0.991316,0.738796,0.501369,0.408679,0.999341,0.998181,0.0142629,0.743058,0.0118786,0.971125,0.916032,0.512818,0.727583,0.299462,0.979252,0.0367043,0.106443,0.685572,0.827164,0.721641,0.653218,0.631422,0.671233,0.00334708,0.000905224,0.00868384,0.261204,0.498631,0.591321,0.000658866,0.00181918,0.985737,0.256942,0.988121,0.0288751,0.0839683,0.487182,0.272417,0.700538,0.0207476,0.963296,0.893557,0.314428,0.172836,0.278359,0.346782,0.368578,0.328767,0.996653,0.00550007,0.427681,1.24198e-18,0.347457,0.333248,0.222127,0.411415,0.00231336,0.249837,0.000422126
-406.236,0.0892013,0.405214,4,15,0,421.4,0.999095,0.991316,0.738796,0.501369,0.408679,0.999341,0.998181,0.0142629,0.743058,0.0118786,0.971125,0.916032,0.512818,0.727583,0.299462,0.979252,0.0367043,0.106443,0.685572,0.827164,0.721641,0.653218,0.631422,0.671233,0.00334708,0.000905224,0.00868384,0.261204,0.498631,0.591321,0.000658866,0.00181918,0.985737,0.256942,0.988121,0.0288751,0.0839683,0.487182,0.272417,0.700538,0.0207476,0.963296,0.893557,0.314428,0.172836,0.278359,0.346782,0.368578,0.328767,0.996653,0.00550007,0.427681,1.24198e-18,0.347457,0.333248,0.222127,0.411415,0.00231336,0.249837,0.000422126
-396.451,0.992579,0.0442585,7,255,0,420.451,0.983488,0.99782,0.553735,0.602145,0.0361863,0.999484,0.994234,0.0530084,0.96678,0.0202894,0.867165,0.899035,0.198263,0.966391,0.207543,0.749554,0.526588,0.254952,0.850211,0.959258,0.284106,0.271836,0.851833,0.683067,0.00261121,0.0165119,0.00217985,0.446265,0.397855,0.963814,0.000515508,0.00576649,0.946992,0.0332201,0.979711,0.132835,0.100965,0.801737,0.033609,0.792457,0.250446,0.473412,0.745048,0.149789,0.040742,0.715894,0.728164,0.148167,0.316933,0.997389,0.00230203,0.433188,1.22357e-19,0.283504,0.254729,0.263904,0.47847,0.0100504,0.264499,0.00935331
-395.846,0.990952,0.0831193,6,63,0,407.126,0.985024,0.996267,0.713198,0.547562,0.113824,0.998085,0.991976,0.0449492,0.788292,0.0423501,0.837797,0.924251,0.767261,0.947888,0.0954831,0.758649,0.169108,0.0570842,0.969976,0.893098,0.461485,0.313817,0.750324,0.72273,0.0122976,0.0149757,0.0037333,0.286802,0.452438,0.886176,0.00191519,0.0080243,0.955051,0.211708,0.95765,0.162203,0.0757492,0.232739,0.0521125,0.904517,0.241351,0.830892,0.942916,0.0300236,0.106902,0.538515,0.686183,0.249676,0.27727,0.987702,0.00072,0.429208,4.74427e-19,0.35315,0.336995,0.20445,0.451139,0.00483496,0.211146,0.00835716
-393.74,0.862404,0.154799,7,127,0,415.068,0.704931,0.98072,0.778921,0.338192,0.0146071,0.881429,0.996853,0.0345422,0.99364,0.000724827,0.978236,0.870556,0.303755,0.982531,0.0222055,0.884223,0.185983,0.208087,0.746876,0.838706,0.422449,0.231234,0.831802,0.601747,0.115013,0.295069,0.0192801,0.221079,0.661808,0.985393,0.118571,0.00314727,0.965458,0.00636045,0.999275,0.0217639,0.129444,0.696245,0.0174689,0.977794,0.115777,0.814017,0.791913,0.253124,0.161294,0.577551,0.768766,0.168198,0.398253,0.884987,2.94563e-07,0.330324,8.9237e-07,0.373165,0.254697,0.296465,0.507432,3.51004e-05,0.23787,1.13925e-05
-394.637,0.962665,0.193062,5,63,0,406.423,0.991503,0.859395,0.773571,0.328258,0.0100448,0.994637,0.989029,0.0596306,0.935124,0.000332784,0.80545,0.866821,0.399889,0.888325,0.192519,0.922774,0.23882,0.0505771,0.826081,0.939466,0.337383,0.303772,0.508964,0.584148,0.0188046,0.00849705,0.140605,0.226429,0.671742,0.989955,0.00536283,0.0109714,0.940369,0.0648763,0.999667,0.19455,0.133179,0.600111,0.111675,0.807481,0.0772259,0.76118,0.949423,0.173919,0.0605337,0.662617,0.696228,0.491036,0.415852,0.981195,4.92767e-06,0.391338,2.12563e-06,0.382476,0.235977,0.226185,0.478921,3.50933e-07,0.285096,5.79824e-07
-392.572,0.112657,0.326696,5,31,0,409.401,0.985908,0.879975,0.431909,0.816441,0.025055,0.95694,0.841668,0.0662244,0.945748,0.00842239,0.924297,0.96592,0.215097,0.959088,0.036168,0.570566,0.187043,0.0231617,0.922496,0.898577,0.310005,0.393168,0.79522,0.693036,0.0540063,0.0140916,0.120025,0.568091,0.183559,0.974945,0.0430599,0.158332,0.933776,0.0542518,0.991578,0.0757029,0.0340802,0.784903,0.0409121,0.963832,0.429434,0.812957,0.976838,0.0775038,0.101423,0.689995,0.606832,0.20478,0.306964,0.945994,2.23815e-05,0.386458,2.88133e-06,0.371506,0.274744,0.242034,0.342714,4.2448e-07,0.382517,7.38954e-07
-398.016,0.965584,0.0417879,7,255,0,415.969,0.762206,0.981316,0.794368,0.751615,0.000188544,0.935811,0.959623,0.000312438,0.929047,0.0616892,0.948743,0.807249,0.181516,0.948527,0.0813438,0.8859,0.298472,0.120441,0.950173,0.999986,0.311439,0.384577,0.778827,0.782609,0.0330321,0.237794,0.0186837,0.205632,0.248385,0.999811,0.0641889,0.0403772,0.999688,0.070953,0.938311,0.0512574,0.192751,0.818484,0.0514733,0.918656,0.1141,0.701528,0.879559,0.0498269,1.38452e-05,0.688561,0.615423,0.221173,0.217391,0.966968,4.44443e-06,0.374747,1.55795e-06,0.316447,0.309711,0.308769,0.461863,3.22306e-05,0.22842,5.42244e-06
-403.868,0.96456,0.0718325,7,127,0,417.469,0.964634,0.879087,0.687367,0.644696,4.73578e-05,0.974211,0.883803,3.40179e-07,0.965796,0.0154321,0.968086,0.998742,0.378523,0.972037,0.00579942,0.818157,0.112498,0.367332,0.973113,0.962588,0.255902,0.0845487,0.770166,0.652965,0.0610869,0.0353656,0.120913,0.312633,0.355304,0.999953,0.0257886,0.116197,1,0.034204,0.984568,0.031914,0.00125775,0.621477,0.0279627,0.994201,0.181843,0.887502,0.632668,0.0268869,0.0374118,0.744098,0.915451,0.229834,0.347035,0.938913,1.07178e-06,0.368827,2.21347e-05,0.384194,0.347888,0.246976,0.261506,5.26873e-07,0.390583,2.27387e-06
